role,winrate,KDA,goldpm,cspm,vision,damage%,champs
SUPPORT,60.0,1.82,334.1927112496493,0.731467552890863,29.4,13.67235019885743,"['Sona', 'Amumu', 'Sona', 'Sona', 'Sona']"
TOP,60.0,3.9545454545454546,651.2133108062624,3.533200446924183,0.0,23.86906557667649,"['Caitlyn', 'Ekko', 'Ekko', 'Zyra', 'Annie']"
TOP,20.0,2.0,703.3379859019433,3.7297264782528763,6.2,19.938040573976394,"['Sett', 'Thresh', 'MissFortune', 'Thresh', 'Jinx']"
SUPPORT,20.0,1.392156862745098,324.9317208984313,1.306909490373783,31.2,17.179934929595724,"['Morgana', 'XinZhao', 'Morgana', 'Morgana', 'Lux']"
TOP,40.0,2.081081081081081,335.7467608716367,4.269398512534293,17.4,22.401928439918024,"['Vladimir', 'Illaoi', 'Illaoi', 'Tryndamere', 'Malphite']"
SUPPORT,60.0,1.2666666666666666,239.95566040976192,1.011419387080603,17.6,7.1452145202520745,"['Leona', 'Leona', 'Leona', 'Leona', 'Leona']"
SUPPORT,80.0,3.925925925925926,332.48804086146384,2.401913781122481,24.4,24.04149192582139,"['Ezreal', 'Yuumi', 'Senna', 'Ziggs', 'Soraka']"
SUPPORT,40.0,2.4615384615384617,275.93050919878664,1.3485457308486783,41.8,17.58980171019795,"['Brand', 'Swain', 'Brand', 'Lulu', 'Sona']"
MID,40.0,2.0166666666666666,763.6539773164646,5.700560449889697,19.8,29.387862173368028,"['Zed', 'Zed', 'Olaf', 'Graves', 'Graves']"
TOP,40.0,3.2777777777777777,723.5772884781632,3.013465594089506,12.2,20.789061217911208,"['DrMundo', 'Pyke', 'DrMundo', 'DrMundo', 'DrMundo']"
ADC,80.0,3.9166666666666665,382.22112355321144,4.552595267637076,13.4,22.06489701858218,"['Jinx', 'Jinx', 'Jinx', 'Senna', 'Senna']"
JUNGLE,40.0,1.8055555555555556,324.5214904831329,0.7336904473416158,20.4,16.424490799344102,"['Hecarim', 'Olaf', 'Sett', 'Gragas', 'LeeSin']"
MID,40.0,2.0256410256410255,361.9977336580829,4.786026903608959,25.0,17.57451614212764,"['Illaoi', 'Ahri', 'Ahri', 'Ahri', 'Ahri']"
MID,40.0,1.8181818181818181,508.81301942473675,4.266527814995759,7.2,13.392618376892356,"['Ahri', 'Ekko', 'Ekko', 'Ahri', 'Ahri']"
TOP,60.0,2.5,348.41876294141935,4.861244647108457,13.0,16.249878467514158,"['Nasus', 'Tryndamere', 'Malphite', 'Darius', 'Jax']"
MID,80.0,1.588235294117647,331.35487659400576,3.4463685018440318,17.4,19.581239603371458,"['Azir', 'Diana', 'Annie', 'Heimerdinger', 'Vladimir']"
JUNGLE,20.0,2.3548387096774195,332.7347865283085,2.635815604862506,14.2,17.390722995166712,"['Vi', 'Amumu', 'Urgot', 'Urgot', 'Vi']"
ADC,20.0,1.8181818181818181,292.24225853489855,3.963133999317648,22.0,16.87359519172797,"['Sivir', 'Lux', 'Syndra', 'Lux', 'Swain']"
ADC,20.0,1.6097560975609757,358.68104481895136,4.702286922395068,14.2,21.49120397042023,"['Tristana', 'Tristana', 'Tristana', 'Tristana', 'Tristana']"
MID,20.0,1.0851063829787233,378.03779144413835,4.941603777943464,12.4,22.165339701544855,"['Yasuo', 'Ekko', 'Yasuo', 'Cassiopeia', 'Yasuo']"
JUNGLE,40.0,2.8333333333333335,508.38397923691946,2.4865647811237253,13.4,15.573130915794717,"['Jinx', 'Garen', 'Tryndamere', 'Jax', 'Warwick']"
JUNGLE,40.0,1.935483870967742,314.8100401380608,0.680546142459258,16.6,19.166232302057725,"['Kayn', 'MasterYi', 'Vi', 'Olaf', 'MasterYi']"
JUNGLE,40.0,2.05,400.9378011104294,2.262136110204644,18.2,22.085617790010428,"['Fiddlesticks', 'Urgot', 'Sett', 'JarvanIV', 'JarvanIV']"
ADC,40.0,3.212121212121212,383.74630440608615,4.9299617834142415,19.0,23.582662756876864,"['MissFortune', 'Aphelios', 'MissFortune', 'MissFortune', 'MissFortune']"
ADC,40.0,1.1929824561403508,319.63445281600264,3.8024714971740705,17.4,17.03059085216513,"['MissFortune', 'Jinx', 'MissFortune', 'Teemo', 'Teemo']"
