role,winrate,KDA,goldpm,cspm,vision,damage%,champs
TOP,40.0,2.423076923076923,475.167048675769,7.477442283442846,16.0,27.71978592033359,"['Irelia', 'Irelia', 'Irelia', 'Kennen', 'Sett']"
MID,40.0,2.129032258064516,369.4191829865435,5.4594010085157,17.8,23.027981453210945,"['Ivern', 'KogMaw', 'Malphite', 'Ivern', 'Ezreal']"
JUNGLE,60.0,4.052631578947368,432.4723935652093,1.5990687045811445,25.2,18.6302524344457,"['LeeSin', 'LeeSin', 'Gragas', 'LeeSin', 'Ekko']"
SUPPORT,0.0,2.875,298.83570290300713,1.1029328748298797,47.0,16.6507520341543,"['Thresh', 'Karma', 'Karma', 'Rumble', 'Yuumi']"
SUPPORT,40.0,2.4482758620689653,258.6557903263082,0.8577397482091094,46.0,8.244107107338108,"['Yuumi', 'Leona', 'Leona', 'Leona', 'Nami']"
MID,20.0,1.8461538461538463,357.5815689629228,6.26347284078463,18.0,26.69121742314191,"['Sylas', 'Sylas', 'Rumble', 'Rumble', 'Sylas']"
JUNGLE,60.0,2.642857142857143,425.9569961013314,1.8652264479628964,27.8,24.007022294822598,"['Khazix', 'Ekko', 'Kayn', 'Elise', 'LeeSin']"
ADC,20.0,2.619047619047619,433.2571936734863,6.9993736531180035,18.0,27.89029573075933,"['Ezreal', 'Kaisa', 'Ezreal', 'Ezreal', 'Kaisa']"
JUNGLE,80.0,3.9473684210526314,383.6538081579166,1.1151429487772462,29.8,16.553353184743923,"['Graves', 'Trundle', 'LeeSin', 'Graves', 'Graves']"
JUNGLE,20.0,2.0256410256410255,419.6737769775077,1.4283477065620847,23.6,20.858748791772022,"['Elise', 'Evelynn', 'Olaf', 'Nidalee', 'Nidalee']"
ADC,100.0,3.3043478260869565,456.68525959907845,6.851893441928974,16.2,28.24461603687718,"['Draven', 'Ezreal', 'Draven', 'Vayne', 'Ezreal']"
TOP,20.0,1.54,530.1983907242841,4.692551881903463,17.8,13.161303552486398,"['Kaisa', 'Kaisa', 'Fiora', 'Shen', 'Riven']"
TOP,20.0,1.3,401.6412717683579,6.7840709322985475,15.0,20.848850552205416,"['Renekton', 'Camille', 'Renekton', 'Vladimir', 'Mordekaiser']"
TOP,20.0,1.7826086956521738,399.77973695233067,6.503102977838019,7.2,20.506240119280132,"['Camille', 'Camille', 'Malphite', 'Darius', 'Jax']"
ADC,40.0,3.0476190476190474,534.2030515661334,6.388283082284639,19.4,33.93813569363399,"['Kaisa', 'Kaisa', 'Kaisa', 'Draven', 'KogMaw']"
SUPPORT,40.0,3.4782608695652173,260.62497835931214,0.9953607264270655,52.4,11.110897009042827,"['Bard', 'Karma', 'Thresh', 'Bard', 'Lulu']"
JUNGLE,60.0,3.5833333333333335,471.8612779260072,0.964404559611518,30.4,22.073866430311988,"['RekSai', 'RekSai', 'Graves', 'LeeSin', 'RekSai']"
SUPPORT,100.0,4.333333333333333,289.37180879484214,0.8651961028970673,79.6,9.782330325349323,"['Karma', 'Janna', 'Lulu', 'Senna', 'Lulu']"
SUPPORT,40.0,2.3142857142857145,257.08978717691605,0.8568539303840698,60.4,10.603728371832128,"['Senna', 'Lulu', 'Yuumi', 'Lulu', 'Soraka']"
ADC,60.0,3.5555555555555554,406.76077326033453,6.623060767227194,22.2,21.740752560856826,"['Ashe', 'Ezreal', 'Ezreal', 'Aphelios', 'Varus']"
MID,60.0,6.5,443.14701755596843,6.964883449661103,25.0,29.218509401776892,"['Velkoz', 'Sylas', 'Velkoz', 'Velkoz', 'Syndra']"
MID,80.0,4.571428571428571,425.02440929927343,5.836232306597124,22.0,23.51552149897876,"['Aatrox', 'Zoe', 'Zoe', 'Zoe', 'Ekko']"
MID,80.0,2.4,415.21582994225264,6.950190064072784,22.4,19.969855773613464,"['Viktor', 'Camille', 'Viktor', 'Diana', 'Ryze']"
ADC,60.0,3.4583333333333335,426.3296166982902,6.705558589689,23.2,26.8331916364119,"['Ezreal', 'Ezreal', 'Aphelios', 'Syndra', 'Aphelios']"
TOP,60.0,2.347826086956522,406.0369816509065,6.097494911673894,23.8,17.592160893231835,"['Mordekaiser', 'Aatrox', 'MonkeyKing', 'MonkeyKing', 'MonkeyKing']"
