role,winrate,KDA,goldpm,cspm,vision,damage%,champs
MID,40.0,2.411764705882353,424.1546594444326,5.699851450027081,15.8,23.979095258024024,"['Zoe', 'Irelia', 'Zoe', 'Zoe', 'Zoe']"
TOP,40.0,1.75,326.9287208723619,3.6225581064899486,10.2,14.625599739120371,"['Warwick', 'Warwick', 'Warwick', 'Warwick', 'Warwick']"
TOP,20.0,2.3846153846153846,403.77635920392976,5.649434462206843,13.6,23.223304465757337,"['Riven', 'Gangplank', 'Sylas', 'Kled', 'Kled']"
JUNGLE,60.0,3.0,381.4497284365733,1.2637075459696723,35.0,17.841526597592274,"['Fiddlesticks', 'Fiddlesticks', 'Khazix', 'Fiddlesticks', 'Fiddlesticks']"
MID,60.0,1.7058823529411764,432.6572111504123,3.989619512850408,8.6,23.467241354311348,"['Camille', 'Shen', 'Velkoz', 'Syndra', 'Akali']"
MID,80.0,2.7419354838709675,423.0775385148492,5.681316986468818,20.4,22.603962605114383,"['MonkeyKing', 'Leblanc', 'Syndra', 'Ahri', 'Ahri']"
MID,40.0,2.5384615384615383,448.1640030118186,5.065445784138933,22.4,18.581107688128967,"['Yasuo', 'Ahri', 'Yasuo', 'Zed', 'Nasus']"
TOP,60.0,2.24,376.625488964808,6.065056621184074,16.0,16.44503168365283,"['Kayle', 'Kayle', 'Kayle', 'Kayle', 'Kayle']"
JUNGLE,40.0,3.740740740740741,410.8964240163201,1.5287104087108616,17.4,27.824694552036444,"['LeeSin', 'Shyvana', 'Taliyah', 'Elise', 'Sylas']"
ADC,20.0,1.6857142857142857,371.36535948085884,5.612968676210821,14.4,23.388081560458517,"['Lucian', 'Kaisa', 'Kaisa', 'Lucian', 'Lucian']"
JUNGLE,60.0,2.4838709677419355,415.4158264926732,1.5422600302143872,40.8,16.319941530682907,"['Warwick', 'Fiddlesticks', 'Warwick', 'Warwick', 'Fiddlesticks']"
JUNGLE,60.0,2.5454545454545454,372.47716914184457,0.7053024173024616,23.4,17.076936095744806,"['JarvanIV', 'Nocturne', 'Elise', 'Elise', 'Nocturne']"
MID,60.0,4.090909090909091,363.65953434084383,5.228997734507028,22.0,18.62295022106618,"['TwistedFate', 'Syndra', 'Galio', 'Galio', 'Orianna']"
SUPPORT,919.9999999999999,2.2323580034423407,8719.318720820505,42.66798749396456,161.8,66.81375101315344,"['Zoe', 'Malphite', 'Malphite', 'Malphite', 'Malphite', 'Malphite', 'Nunu', 'Nunu', 'Nunu', 'Nunu', 'Nunu', 'Diana', 'Diana', 'Diana', 'Diana', 'Diana', 'Riven', 'Riven', 'Riven', 'Riven', 'Riven', 'Senna', 'Senna', 'Senna', 'Senna', 'Senna', 'Sett', 'Sett', 'Sett', 'Sett', 'Sett', 'Fiddlesticks', 'Fiddlesticks', 'Fiddlesticks', 'Fiddlesticks', 'Fiddlesticks', 'Zoe', 'Zoe', 'Zoe', 'Zoe', 'Zoe', 'Zoe', 'Zoe', 'Zoe', 'Zoe', 'Zoe', 'Malzahar', 'Malzahar', 'Malzahar', 'Malzahar', 'Malzahar', 'Pantheon', 'Pantheon', 'Pantheon', 'Pantheon', 'Pantheon', 'Nasus', 'Nasus', 'Nasus', 'Nasus', 'Nasus', 'Zyra', 'Zyra', 'Zyra', 'Zyra', 'Zyra', 'Blitzcrank', 'Blitzcrank', 'Blitzcrank', 'Blitzcrank', 'Blitzcrank', 'Twitch', 'Twitch', 'Twitch', 'Twitch', 'Twitch', 'Morgana', 'Morgana', 'Morgana', 'Morgana', 'Morgana']"
ADC,40.0,1.7586206896551724,403.4501338900588,5.846732864200946,14.0,25.907817984776187,"['Ziggs', 'Caitlyn', 'Ezreal', 'Caitlyn', 'Caitlyn']"
ADC,40.0,1.911764705882353,388.32228873703485,5.601757381137061,18.2,17.410229176956346,"['Draven', 'Draven', 'Draven', 'Draven', 'Draven']"
TOP,100.0,2.7142857142857144,378.2963020649123,5.592504712298135,18.4,15.126296977317882,"['Yorick', 'Darius', 'Volibear', 'Maokai', 'Volibear']"
ADC,40.0,1.9655172413793103,370.6174878786204,5.919571993722006,16.8,21.204092410218745,"['Yasuo', 'Cassiopeia', 'Ezreal', 'Vayne', 'Kaisa']"
SUPPORT,80.0,4.416666666666667,387.62700518373117,1.4387575129863819,58.4,11.94172083991701,"['Zyra', 'Zyra', 'Lulu', 'Lulu', 'Lux']"
JUNGLE,100.0,3.45,404.58483171793307,1.2216737955791193,20.0,15.912181034497804,"['Rumble', 'Nidalee', 'Rumble', 'Nidalee', 'Nidalee']"
ADC,20.0,0.9428571428571428,329.6280103467699,4.559515406003809,12.2,17.519769957178905,"['Twitch', 'Lucian', 'Ashe', 'Kaisa', 'Lucian']"
SUPPORT,40.0,3.0,302.38556201183974,0.950552603980162,55.0,10.093271494870711,"['Yuumi', 'Thresh', 'Pyke', 'Thresh', 'Thresh']"
TOP,20.0,2.260869565217391,376.32967940612707,6.340760694631735,29.8,20.60201663495346,"['Karma', 'Vayne', 'LeeSin', 'LeeSin', 'Gangplank']"
SUPPORT,40.0,1.588235294117647,283.9057887193682,2.0895033134180494,40.8,16.686466845849136,"['Ezreal', 'Kalista', 'Lulu', 'Pantheon', 'Swain']"
SUPPORT,20.0,2.1923076923076925,262.45016026068026,1.003187722972414,41.4,16.798469194972153,"['Lux', 'Morgana', 'Leona', 'Karma', 'Velkoz']"
