role,winrate,KDA,goldpm,cspm,vision,damage%,champs
TOP,20.0,1.2105263157894737,317.247057936568,4.062767849477289,14.4,20.116869432136923,"['Garen', 'Morgana', 'Garen', 'Garen', 'Mordekaiser']"
SUPPORT,60.0,1.4761904761904763,612.9044909977166,3.26471983981219,32.2,13.031091355631874,"['Garen', 'XinZhao', 'Shyvana', 'XinZhao', 'Volibear']"
JUNGLE,40.0,0.5714285714285714,231.59407449537616,0.5174548844373168,9.2,8.705320349788563,"['MasterYi', 'XinZhao', 'XinZhao', 'XinZhao', 'XinZhao']"
TOP,40.0,2.15625,413.76938448902473,3.399945452579351,10.6,12.850469407268566,"['Khazix', 'Galio', 'Ryze', 'Draven', 'Ryze']"
JUNGLE,60.0,2.076923076923077,371.04047482089686,0.9929821278486015,16.8,14.602334378159314,"['Rengar', 'Vi', 'Warwick', 'Hecarim', 'MasterYi']"
TOP,0.0,1.325,447.0334572490707,2.694423791821561,10.2,6.13749171614439,"['Kennen', 'Kennen', 'Kennen', 'Kennen', 'Kennen']"
SUPPORT,40.0,0.9056603773584906,262.93074482498423,2.0178936735208635,13.6,12.047500074147397,"['Blitzcrank', 'Blitzcrank', 'Morgana', 'Ashe', 'Urgot']"
SUPPORT,40.0,2.03125,292.1515147469271,0.9574315981774756,34.6,10.084146931785979,"['Pyke', 'Pyke', 'Pyke', 'Pyke', 'Nautilus']"
JUNGLE,20.0,1.15,320.8195247660607,1.6142485911479478,24.6,16.362835801783067,"['LeeSin', 'Warwick', 'Kayn', 'Jax', 'Graves']"
SUPPORT,60.0,2.75,276.94445462671246,0.9783745480563608,40.2,11.263986579536233,"['Morgana', 'Rakan', 'Rakan', 'Rakan', 'Sona']"
MID,20.0,1.6296296296296295,281.76174379549616,3.640923243322471,14.0,21.985880621822332,"['Syndra', 'Leblanc', 'Syndra', 'TwistedFate', 'Leblanc']"
TOP,60.0,1.469387755102041,623.5546963962241,3.0663886237015845,11.2,8.436902774634174,"['Maokai', 'Maokai', 'Morgana', 'Blitzcrank', 'Blitzcrank']"
MID,60.0,1.9090909090909092,291.35811792988164,3.3907755514078595,10.4,14.37803339869031,"['Neeko', 'Neeko', 'Neeko', 'Neeko', 'Neeko']"
TOP,60.0,2.054054054054054,365.8409546798524,3.634568123962314,9.0,20.213713317107313,"['Jax', 'Chogath', 'Riven', 'Riven', 'Gnar']"
MID,80.0,3.2857142857142856,353.2715985953091,3.9315285435019716,9.6,24.901598469355495,"['Velkoz', 'AurelionSol', 'Diana', 'Diana', 'Talon']"
MID,60.0,1.9230769230769231,367.3926138758997,3.4055360670527035,12.2,37.9593348661171,"['Katarina', 'Katarina', 'Katarina', 'Katarina', 'Vladimir']"
JUNGLE,0.0,1.2820512820512822,324.9110160579172,0.8523014311477297,13.8,13.64427643740116,"['Shyvana', 'Warwick', 'Warwick', 'Warwick', 'Warwick']"
MID,40.0,4.043478260869565,369.11421068288126,3.564955298217894,12.2,24.921041236058272,"['Talon', 'Talon', 'Talon', 'Talon', 'Talon']"
SUPPORT,20.0,1.1578947368421053,220.78678139767536,1.1860376653633231,17.2,11.022039761505505,"['Braum', 'Morgana', 'Nautilus', 'Nautilus', 'Thresh']"
ADC,60.0,2.021276595744681,344.8524059835005,3.139211264522006,12.4,26.07084446504107,"['Ezreal', 'Ezreal', 'Ezreal', 'Ezreal', 'Ezreal']"
JUNGLE,20.0,1.9230769230769231,402.6623523875931,1.913629256694951,12.8,18.21003488623091,"['Shaco', 'Shaco', 'Kayn', 'Heimerdinger', 'Olaf']"
ADC,80.0,1.9,289.09476825584693,2.939712843355016,6.0,11.051157043278385,"['Sivir', 'Ashe', 'Ashe', 'Ashe', 'Ashe']"
ADC,20.0,2.12,303.65587643419286,4.175226277938783,13.2,14.91453391247217,"['MissFortune', 'MissFortune', 'MissFortune', 'MissFortune', 'MissFortune']"
ADC,60.0,2.9545454545454546,300.50108872007957,3.50999038627335,23.8,12.638778601042597,"['Ezreal', 'Ezreal', 'Varus', 'Twitch', 'Twitch']"
ADC,0.0,0.7833333333333333,307.17470724743436,4.057660617670189,13.4,17.234482426790954,"['Twitch', 'Ezreal', 'Xayah', 'Twitch', 'Aphelios']"
