role,winrate,KDA,goldpm,cspm,vision,damage%,champs
ADC,40.0,3.0869565217391304,388.7268414971107,6.780316647035865,15.0,20.59697849509798,"['Jhin', 'Jhin', 'Jhin', 'Jhin', 'Jhin']"
ADC,40.0,2.225806451612903,404.0973358633082,6.512804252697961,32.0,23.024453076108884,"['Kaisa', 'Varus', 'Aphelios', 'Ezreal', 'Ezreal']"
MID,0.0,1.1071428571428572,290.1423199969001,4.663440833709416,24.0,17.482955013582703,"['Akali', 'Camille', 'Orianna', 'Akali', 'Akali']"
JUNGLE,40.0,3.0,418.68892766437364,1.1702695323169248,29.8,22.933412432989346,"['Olaf', 'Graves', 'Graves', 'LeeSin', 'Sylas']"
ADC,80.0,4.708333333333333,510.5322160823065,6.757561529862104,24.4,30.12520600950087,"['Kaisa', 'Lucian', 'Ashe', 'Ashe', 'Jhin']"
SUPPORT,0.0,3.212121212121212,249.381932070131,0.6378732020471396,49.0,10.768200614893738,"['Blitzcrank', 'Soraka', 'Senna', 'Thresh', 'Brand']"
SUPPORT,60.0,2.72972972972973,386.2177397947757,1.6088507593738761,31.6,11.7998596927609,"['Yasuo', 'Yuumi', 'Syndra', 'Lulu', 'Lulu']"
ADC,100.0,6.6,485.9281398982527,7.26367298639056,16.6,27.83344265806275,"['Jinx', 'Kaisa', 'Jinx', 'Caitlyn', 'Draven']"
MID,20.0,3.772727272727273,642.2873417093799,2.6954287895397613,0.0,26.509163010123043,"['Syndra', 'Zed', 'Velkoz', 'Vayne', 'TwistedFate']"
TOP,0.0,1.5714285714285714,370.7761864783169,6.156272733575631,18.2,20.81233390248117,"['Riven', 'Irelia', 'Riven', 'Akali', 'Riven']"
JUNGLE,40.0,2.8,344.38244464198317,1.0637540425891583,29.6,12.73690943494328,"['Taliyah', 'LeeSin', 'Volibear', 'Ivern', 'Fiddlesticks']"
MID,40.0,2.8636363636363638,526.4063164186616,4.528956025088006,10.2,24.00288404814863,"['Kindred', 'Tristana', 'Malzahar', 'Galio', 'Pantheon']"
TOP,20.0,3.2962962962962963,547.2980354600252,3.2405684106271186,20.0,12.175923807562084,"['Leona', 'Trundle', 'Teemo', 'Morgana', 'Lulu']"
SUPPORT,20.0,1.8148148148148149,250.90213728246448,0.8444247756084728,40.2,8.586554881455962,"['Lulu', 'Lulu', 'Lulu', 'Lulu', 'Yuumi']"
ADC,60.0,1.837837837837838,402.52088526043735,5.737069141989158,12.6,25.802476487987715,"['KogMaw', 'Varus', 'Draven', 'Swain', 'Varus']"
TOP,20.0,2.7916666666666665,406.6285311985549,6.419396803108773,22.8,26.184532916744,"['Nasus', 'Sett', 'Lucian', 'Akali', 'Aatrox']"
TOP,60.0,2.5294117647058822,409.74110917304614,4.8938570579035225,15.4,17.173586151690564,"['Syndra', 'Garen', 'Mordekaiser', 'Garen', 'Garen']"
TOP,80.0,5.057142857142857,847.9540330019081,4.053825785593054,35.4,16.80405405899977,"['Senna', 'Kaisa', 'Zed', 'Evelynn', 'Lulu']"
SUPPORT,0.0,1.8636363636363635,305.84746017460844,1.008334267503864,70.2,17.694275126767284,"['Pyke', 'Xerath', 'Senna', 'Senna', 'Bard']"
MID,0.0,1.8888888888888888,451.5073131179364,4.8913078346798855,34.4,24.16856466326374,"['Lissandra', 'Ekko', 'Twitch', 'Orianna', 'Lissandra']"
SUPPORT,20.0,2.6451612903225805,254.29587906876037,0.7336904158185111,41.2,10.551130163156607,"['Yuumi', 'Nautilus', 'Yuumi', 'Leona', 'Thresh']"
MID,60.0,2.5,401.4093686536679,5.761237371499787,22.0,23.83952458294451,"['Ryze', 'Ryze', 'Ryze', 'Ryze', 'Ryze']"
JUNGLE,60.0,2.3846153846153846,782.2814558749324,3.811004391722946,39.2,24.55624265177357,"['Kayn', 'Kayn', 'Shaco', 'Shaco', 'Kayn']"
JUNGLE,60.0,2.0285714285714285,364.4101101430839,0.7766482574713971,28.8,13.84290684133432,"['Olaf', 'Gragas', 'Ivern', 'Pantheon', 'Pantheon']"
JUNGLE,20.0,1.4142857142857144,588.3129563414468,2.5365757339478745,40.4,16.917519558180587,"['Lux', 'Blitzcrank', 'Karma', 'Elise', 'Elise']"
