role,winrate,KDA,goldpm,cspm,vision,damage%,champs
MID,80.0,3.3448275862068964,367.7360779662203,4.570459555020998,17.6,24.639948102322514,"['Lux', 'Galio', 'Galio', 'Orianna', 'Orianna']"
ADC,40.0,2.576923076923077,416.1882686215707,5.078568794333501,24.2,24.08807551397684,"['Varus', 'Kalista', 'MissFortune', 'MissFortune', 'MissFortune']"
ADC,0.0,1.6363636363636365,343.7666575275395,5.118916536513525,18.4,19.040643448424547,"['MissFortune', 'MissFortune', 'MissFortune', 'MissFortune', 'Tristana']"
MID,60.0,1.8125,506.59159277786586,5.022359070005102,15.6,17.208527423751928,"['Sylas', 'Yasuo', 'Zilean', 'Jinx', 'Qiyana']"
SUPPORT,40.0,2.4186046511627906,286.2317288996973,0.8082004687138846,58.4,10.421842175177783,"['Senna', 'Nami', 'Nami', 'Lulu', 'Soraka']"
MID,40.0,2.032258064516129,351.10705040373176,4.587769362261762,25.2,23.314371742256373,"['Zed', 'Velkoz', 'Velkoz', 'Velkoz', 'Velkoz']"
JUNGLE,60.0,1.7407407407407407,333.5355842363663,1.0680711191894008,16.6,16.7065719722058,"['Hecarim', 'Amumu', 'Morgana', 'LeeSin', 'Rengar']"
ADC,60.0,1.411764705882353,341.4001021754036,5.0644479271981515,13.4,18.41410036781153,"['Caitlyn', 'Ashe', 'Vayne', 'Jhin', 'Lucian']"
ADC,0.0,1.186046511627907,336.695726588045,5.661332715707308,14.2,22.96246540532901,"['Ezreal', 'Ezreal', 'Ezreal', 'Caitlyn', 'Lucian']"
TOP,20.0,1.8780487804878048,402.4867865311086,5.321444532519534,20.2,20.827323896638745,"['Tryndamere', 'Irelia', 'Tryndamere', 'Tryndamere', 'Malphite']"
JUNGLE,60.0,3.4838709677419355,433.0458257141827,1.9801453981115433,23.2,22.217056302962963,"['Ekko', 'Ekko', 'LeeSin', 'MissFortune', 'Ekko']"
JUNGLE,40.0,2.272727272727273,464.88522843547645,2.376206647832467,21.2,16.109192567158964,"['Trundle', 'DrMundo', 'Trundle', 'Trundle', 'Trundle']"
SUPPORT,20.0,2.72,306.7316883198687,0.8350953712543028,48.6,19.083082350615776,"['Nami', 'Lux', 'Lux', 'Lux', 'Nami']"
ADC,80.0,3.466666666666667,428.5467072690757,5.13150131812397,23.8,21.788540581594102,"['Ezreal', 'MissFortune', 'Vayne', 'MissFortune', 'Vayne']"
MID,80.0,1.4210526315789473,386.1485987246134,5.201648770307315,11.8,21.997979823719373,"['Sylas', 'Fizz', 'Diana', 'Cassiopeia', 'Sylas']"
SUPPORT,60.0,2.388888888888889,256.6207785904443,1.0486322922001596,58.6,12.476327798965123,"['Thresh', 'Nautilus', 'Sona', 'Nautilus', 'Leona']"
SUPPORT,20.0,1.3513513513513513,280.34976995833784,1.231895240267862,26.6,8.752168912260693,"['Ekko', 'Soraka', 'Soraka', 'Thresh', 'Taric']"
JUNGLE,40.0,2.4,400.46560628593045,3.6730818055970738,21.2,16.994841075239204,"['Udyr', 'Tryndamere', 'Ekko', 'Tryndamere', 'Udyr']"
TOP,20.0,2.15,475.74802103750426,4.013531378521913,13.4,24.95533258245688,"['Garen', 'Jayce', 'Garen', 'Garen', 'Garen']"
TOP,80.0,3.32,403.6545744244811,4.4841840087603355,15.0,21.899847871331783,"['Darius', 'Quinn', 'Darius', 'Maokai', 'Vladimir']"
TOP,60.0,2.935483870967742,647.2613067696817,5.568038226491002,17.0,21.37132184520377,"['Trundle', 'Volibear', 'Jhin', 'Syndra', 'Jhin']"
TOP,0.0,1.0833333333333333,368.91471071544885,6.190281011484386,16.8,26.786140289821976,"['Yorick', 'Yorick', 'Yorick', 'Yorick', 'Yorick']"
MID,20.0,2.196078431372549,474.2583405441102,4.36972173241865,9.6,24.56873710632557,"['Shaco', 'Fizz', 'Fizz', 'Yasuo', 'Yasuo']"
JUNGLE,80.0,2.161290322580645,360.3769125807915,0.7504211753168807,21.2,12.67983692505616,"['Malphite', 'MasterYi', 'MasterYi', 'MasterYi', 'MasterYi']"
SUPPORT,40.0,2.1944444444444446,271.99901464031234,0.8599927939431271,48.6,11.267537363927064,"['Yuumi', 'Leona', 'Yuumi', 'Leona', 'Brand']"
